date,close,open,high,low,volume,gas,oil,coal,power,stock,trends,pos,neg
2021/3/22,2.035396035,-0.710062155,1.651392337,1.171001552,-92.36708392,5.923154056,0.139372845,0.073019353,-0.551549977,-2.201923824,36,0,0
2021/3/23,-3.295966896,2.161738315,-0.555171447,-1.002873735,107.9920156,2.034702229,-6.109865864,0,0.86837356,0,27,0.293,0.212
2021/3/24,0.42990274,-2.733440682,-2.537133974,-1.328682429,-3.195159981,1.657496509,5.78435988,0,-1.487174212,-0.026507621,24,0.216,0.392
2021/3/25,-3.024302101,-0.047789726,-0.19052161,-2.761516703,12.21026968,-0.422387112,-3.894129248,0,0.661335744,-0.053036331,37,0.539,0.305
2021/3/26,3.333642027,-2.737905724,0.523063485,1.587334916,-42.72524623,2.384052687,4.142229856,0,0.445529537,1.029168604,20,0.747,0.657
2021/3/29,0.261003826,2.737905724,1.10837121,1.344270518,-70.64511462,-2.91455791,0.63296236,3.019639923,-0.148289403,0.54981157,30,0,0
2021/3/30,0.47281412,0.238720572,0.444601177,1.541827701,111.0446746,2.521141935,-1.301133598,-0.853490245,-0.021202163,1.090636622,10,0.796,0.272
2021/3/31,1.149033629,1.279335146,0.628420548,1.282677918,-96.14111672,-2.947581813,-0.939856542,0.071403073,0.063593007,-0.155078863,25,0.468,0.107
2021/4/1,-0.186697837,0.96053216,0.139114328,0.376914463,-25.24139336,0.872253163,2.056147204,0.213903825,-0.446002651,0.695968784,13,0.355,0.332
2021/4/5,0,-0.186697837,-0.814242023,0.656201089,62.66264982,2.938809815,-4.268028292,0,0,0.553308446,0,0,0
2021/4/6,4.096213887,0.906877509,4.208258717,0.74470905,11.01111184,0.721403301,0.944838481,0.142348778,0.995454583,0.137850072,25,0.17,0.082
2021/4/7,-0.833056715,3.45803336,0.156652152,1.769550942,-45.40183335,-2.084053555,0.667198662,-2.156805388,-0.697898571,-0.281006699,34,0.316,0.325
2021/4/8,-0.862857306,-1.28279018,-0.898478641,-0.456621798,22.01540125,-1.597343757,0.063311177,-2.353049741,0.40241503,0.408476442,30,0.341,0.094
2021/4/9,0.409650095,-0.567860697,-0.384311539,-0.36680463,-15.51491822,-0.722945951,-0.396354066,0.519481688,3.652616046,0.025474462,24,0.558,0.433
2021/4/12,1.867530932,0.74889718,1.840267373,1.209922305,90.92731592,4.750893401,0.522856297,1.177349876,3.681151781,-0.280576641,29,0,0
2021/4/13,-1.391717188,1.65923089,0.155538305,0.18136482,-42.9700079,-1.104983619,0.614417057,0.7288662,0.568016413,0.051072524,22,0.634,0.038
2021/4/14,-0.090456813,-1.320668328,-1.071438821,-0.659018406,1.716780362,0.574478396,4.469073812,0.434783294,-0.450230769,0.280433581,29,0.619,0.407
2021/4/15,0.788736483,-0.135287507,0.760119913,0.930450375,-44.895022,3.042442783,0.539246364,1.507025292,2.327039268,0.355781824,31,0.26,0.431
2021/4/16,0.55959855,1.855423742,0.621671629,1.123102551,45.31965109,1.496974971,-0.254281791,1.974676293,1.879861681,1.034709547,23,0.605,0
